0.005787 0.022110 0.041706 0.126654 0.482300 0.007609 0.022179 0.034696 0.108360 0.370334
0.004553 0.018828 0.095295 0.119212 0.451521 0.003779 0.012923 0.052806 0.099979 0.389674
0.004239 0.035898 0.038093 0.122530 0.455366 0.003797 0.012751 0.027052 0.099854 0.422218
0.004391 0.021805 0.035008 0.141547 0.450907 0.004232 0.017532 0.045683 0.098136 0.366403
0.005907 0.015450 0.032948 0.119271 0.446843 0.006403 0.021280 0.040121 0.097715 0.364246
0.004306 0.022213 0.056724 0.119028 0.452324 0.003671 0.017626 0.041546 0.099770 0.388839
0.004321 0.015155 0.046519 0.121433 0.447404 0.003716 0.013194 0.027339 0.103698 0.382609
0.004264 0.018116 0.047745 0.126129 0.463022 0.003789 0.015339 0.049225 0.099157 0.368462
0.004307 0.027469 0.037122 0.173488 0.446601 0.004517 0.019076 0.037138 0.098760 0.391087
0.005609 0.015180 0.045720 0.146949 0.447579 0.004963 0.018654 0.041893 0.099706 0.366560
