0.010086 0.020128 0.035942 0.129258 0.477100 0.003204 0.011869 0.022694 0.068368 0.249052
0.006756 0.018932 0.037237 0.129927 0.472117 0.004186 0.010206 0.019331 0.065814 0.248331
0.007237 0.017734 0.036151 0.128643 0.471192 0.004122 0.008807 0.019249 0.073761 0.248935
0.005175 0.019650 0.036034 0.128131 0.472328 0.002838 0.010277 0.018283 0.065693 0.245923
0.005509 0.017679 0.039128 0.127850 0.477664 0.002553 0.008944 0.018710 0.066796 0.252081
0.005743 0.020659 0.036876 0.129009 0.471844 0.004370 0.008713 0.023519 0.067029 0.254554
0.006695 0.018936 0.040597 0.129925 0.476295 0.002828 0.008665 0.018510 0.066516 0.247121
0.005341 0.017678 0.038983 0.128477 0.469377 0.004304 0.009525 0.018452 0.068649 0.250136
0.005424 0.017637 0.038323 0.128794 0.469855 0.002532 0.008747 0.019579 0.066712 0.251019
0.005470 0.022062 0.035607 0.130326 0.479990 0.003139 0.010220 0.018148 0.066815 0.246202
